job_id,job_title,company,location,job_description,experience,education,salary,job_type,extracted_skills
JOB00011,Data Scientist,Accenture,"Pune, Maharashtra","We are looking for a Data Scientist to join our team at Accenture. The candidate will work on data, software, and business projects. Required skills include Python, Pandas, SQL, Machine Learning, Scikit-learn. Candidates should have 5-8 years of experience and a BCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,BCA,Not Disclosed,Internship,"['Scikit-learn', 'SQL', 'Python', 'Pandas', 'Machine Learning']"
JOB00012,Python Developer,Mphasis,"Delhi, India","We are looking for a Python Developer to join our team at Mphasis. The candidate will work on data, software, and business projects. Required skills include REST API, Django, SQL, Python. Candidates should have 8-12 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,M.Tech,₹6-10 LPA,Full-time,"['Django', 'SQL', 'Python']"
JOB00013,Product Analyst,Tech Mahindra,"Jaipur, Rajasthan","We are looking for a Product Analyst to join our team at Tech Mahindra. The candidate will work on data, software, and business projects. Required skills include Excel, Analytics, A/B Testing, SQL, Python. Candidates should have Fresher of experience and a M.Sc. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",Fresher,M.Sc,₹8-12 LPA,Remote,"['Excel', 'SQL', 'Python']"
JOB00014,Web Developer,Infosys,"Hyderabad, Telangana","We are looking for a Web Developer to join our team at Infosys. The candidate will work on data, software, and business projects. Required skills include CSS, HTML, React. Candidates should have 1-3 years of experience and a M.Sc. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,M.Sc,₹12-20 LPA,Part-time,"['HTML', 'CSS', 'React']"
JOB00015,Business Analyst,Mphasis,"Pune, Maharashtra","We are looking for a Business Analyst to join our team at Mphasis. The candidate will work on data, software, and business projects. Required skills include Power BI, Communication, SQL. Candidates should have 0-2 years of experience and a Any Graduate. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",0-2 years,Any Graduate,₹5-8 LPA,Remote,"['Power BI', 'SQL']"
JOB00016,Software Engineer,Google,"Kolkata, West Bengal","We are looking for a Software Engineer to join our team at Google. The candidate will work on data, software, and business projects. Required skills include Git, Java, Data Structures, C++, Python. Candidates should have 5-8 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,M.Tech,₹8-12 LPA,Internship,"['C++', 'Git', 'Java', 'Python']"
JOB00017,Data Analyst,Persistent Systems,"Jaipur, Rajasthan","We are looking for a Data Analyst to join our team at Persistent Systems. The candidate will work on data, software, and business projects. Required skills include Python, SQL, Tableau. Candidates should have 0-2 years of experience and a MCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",0-2 years,MCA,Not Disclosed,Full-time,"['Tableau', 'SQL', 'Python']"
JOB00018,Database Administrator,Wipro,"Jaipur, Rajasthan","We are looking for a Database Administrator to join our team at Wipro. The candidate will work on data, software, and business projects. Required skills include Linux, MySQL, Oracle. Candidates should have 0-2 years of experience and a M.Sc. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",0-2 years,M.Sc,₹12-20 LPA,Internship,"['SQL', 'Oracle', 'MySQL']"
JOB00019,Backend Developer,Genpact,"Noida, Uttar Pradesh","We are looking for a Backend Developer to join our team at Genpact. The candidate will work on data, software, and business projects. Required skills include REST API, Java, Python, SQL, Node.js. Candidates should have 0-2 years of experience and a B.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",0-2 years,B.Tech,Not Disclosed,Full-time,"['Node.js', 'SQL', 'Java', 'Python']"
JOB00020,Python Developer,TCS,"Noida, Uttar Pradesh","We are looking for a Python Developer to join our team at TCS. The candidate will work on data, software, and business projects. Required skills include Django, SQL, Flask. Candidates should have 5-8 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,M.Tech,₹12-20 LPA,Full-time,"['Django', 'Flask', 'SQL', 'Python']"
JOB00021,Java Developer,Oracle,"Pune, Maharashtra","We are looking for a Java Developer to join our team at Oracle. The candidate will work on data, software, and business projects. Required skills include REST API, Java, Git. Candidates should have 1-3 years of experience and a Any Graduate. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,Any Graduate,Not Disclosed,Part-time,"['Git', 'Java', 'Oracle']"
JOB00022,Business Analyst,Capgemini,"Pune, Maharashtra","We are looking for a Business Analyst to join our team at Capgemini. The candidate will work on data, software, and business projects. Required skills include Communication, SQL, Data Analysis. Candidates should have 2-5 years of experience and a Any Graduate. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",2-5 years,Any Graduate,₹10-16 LPA,Internship,['SQL']
JOB00023,Data Analyst,Google,"Delhi, India","We are looking for a Data Analyst to join our team at Google. The candidate will work on data, software, and business projects. Required skills include Tableau, Power BI, Python, Excel. Candidates should have 8-12 years of experience and a Any Graduate. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,Any Graduate,₹6-10 LPA,Contract,"['Tableau', 'Excel', 'Power BI', 'Python']"
JOB00024,Frontend Developer,TCS,"Ahmedabad, Gujarat","We are looking for a Frontend Developer to join our team at TCS. The candidate will work on data, software, and business projects. Required skills include HTML, React, JavaScript. Candidates should have 5-8 years of experience and a Bachelor's Degree. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,Bachelor's Degree,₹4-7 LPA,Contract,"['HTML', 'React', 'Java', 'JavaScript']"
JOB00025,Data Scientist,LTIMindtree,"Hyderabad, Telangana","We are looking for a Data Scientist to join our team at LTIMindtree. The candidate will work on data, software, and business projects. Required skills include Python, SQL, Pandas, Scikit-learn, Machine Learning. Candidates should have 8-12 years of experience and a BCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,BCA,Not Disclosed,Full-time,"['Scikit-learn', 'SQL', 'Python', 'Pandas', 'Machine Learning']"
JOB00026,Cybersecurity Analyst,Wipro,"Noida, Uttar Pradesh","We are looking for a Cybersecurity Analyst to join our team at Wipro. The candidate will work on data, software, and business projects. Required skills include Networking, Linux, SIEM. Candidates should have 5-8 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,M.Tech,₹10-16 LPA,Contract,[]
JOB00027,Java Developer,Deloitte,"Chennai, Tamil Nadu","We are looking for a Java Developer to join our team at Deloitte. The candidate will work on data, software, and business projects. Required skills include Git, Java, REST API, SQL. Candidates should have 1-3 years of experience and a B.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,B.Tech,₹6-10 LPA,Full-time,"['Git', 'SQL', 'Java']"
JOB00028,Java Developer,Amazon,"Hyderabad, Telangana","We are looking for a Java Developer to join our team at Amazon. The candidate will work on data, software, and business projects. Required skills include REST API, SQL, Git. Candidates should have 0-2 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",0-2 years,M.Tech,Not Disclosed,Contract,"['Git', 'SQL', 'Java']"
JOB00029,AI Engineer,Deloitte,"Kolkata, West Bengal","We are looking for a AI Engineer to join our team at Deloitte. The candidate will work on data, software, and business projects. Required skills include Python, Machine Learning, NLP. Candidates should have Fresher of experience and a BCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",Fresher,BCA,₹6-10 LPA,Contract,"['Machine Learning', 'Python']"
JOB00030,Cybersecurity Analyst,Cognizant,Remote,"We are looking for a Cybersecurity Analyst to join our team at Cognizant. The candidate will work on data, software, and business projects. Required skills include SIEM, Networking, Cybersecurity, Python, Linux. Candidates should have 1-3 years of experience and a MCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,MCA,₹6-10 LPA,Contract,['Python']
JOB00031,Data Scientist,Infosys,"Gurugram, Haryana","We are looking for a Data Scientist to join our team at Infosys. The candidate will work on data, software, and business projects. Required skills include Pandas, Scikit-learn, Machine Learning. Candidates should have 8-12 years of experience and a BCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,BCA,Not Disclosed,Contract,"['Pandas', 'Scikit-learn', 'Machine Learning']"
JOB00032,Python Developer,Wipro,Remote,"We are looking for a Python Developer to join our team at Wipro. The candidate will work on data, software, and business projects. Required skills include SQL, Django, REST API, Python, Flask. Candidates should have 0-2 years of experience and a Bachelor's Degree. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",0-2 years,Bachelor's Degree,₹6-10 LPA,Contract,"['Django', 'Flask', 'SQL', 'Python']"
JOB00033,Cloud Engineer,TCS,"Gurugram, Haryana","We are looking for a Cloud Engineer to join our team at TCS. The candidate will work on data, software, and business projects. Required skills include Cloud Computing, Docker, Linux, AWS. Candidates should have 0-2 years of experience and a MCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",0-2 years,MCA,₹5-8 LPA,Full-time,"['AWS', 'Docker']"
JOB00034,Full Stack Developer,Tech Mahindra,"Noida, Uttar Pradesh","We are looking for a Full Stack Developer to join our team at Tech Mahindra. The candidate will work on data, software, and business projects. Required skills include CSS, JavaScript, HTML, React. Candidates should have Fresher of experience and a BCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",Fresher,BCA,₹10-16 LPA,Contract,"['Java', 'JavaScript', 'HTML', 'CSS', 'React']"
JOB00035,Data Scientist,Genpact,"Mumbai, Maharashtra","We are looking for a Data Scientist to join our team at Genpact. The candidate will work on data, software, and business projects. Required skills include SQL, Scikit-learn, Python, Machine Learning. Candidates should have 0-2 years of experience and a Any Graduate. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",0-2 years,Any Graduate,₹10-16 LPA,Contract,"['Scikit-learn', 'Machine Learning', 'SQL', 'Python']"
JOB00036,Database Administrator,IBM,"Hyderabad, Telangana","We are looking for a Database Administrator to join our team at IBM. The candidate will work on data, software, and business projects. Required skills include Linux, Database, Oracle, MySQL, SQL. Candidates should have 8-12 years of experience and a M.Sc. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,M.Sc,₹3-5 LPA,Contract,"['SQL', 'Oracle', 'MySQL']"
JOB00037,Machine Learning Engineer,Tech Mahindra,"Ahmedabad, Gujarat","We are looking for a Machine Learning Engineer to join our team at Tech Mahindra. The candidate will work on data, software, and business projects. Required skills include SQL, TensorFlow, NLP, Machine Learning, Python. Candidates should have 1-3 years of experience and a Bachelor's Degree. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,Bachelor's Degree,₹3-5 LPA,Full-time,"['TensorFlow', 'Machine Learning', 'SQL', 'Python']"
JOB00038,DevOps Engineer,Persistent Systems,"Mumbai, Maharashtra","We are looking for a DevOps Engineer to join our team at Persistent Systems. The candidate will work on data, software, and business projects. Required skills include Linux, Kubernetes, Jenkins. Candidates should have 1-3 years of experience and a Bachelor's Degree. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,Bachelor's Degree,₹10-16 LPA,Internship,['Kubernetes']
JOB00039,Business Analyst,Microsoft,"Ahmedabad, Gujarat","We are looking for a Business Analyst to join our team at Microsoft. The candidate will work on data, software, and business projects. Required skills include Power BI, Communication, Excel, Data Analysis, SQL. Candidates should have 1-3 years of experience and a B.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,B.Tech,₹4-7 LPA,Contract,"['Power BI', 'SQL', 'Excel']"
JOB00040,Frontend Developer,Oracle,"Kolkata, West Bengal","We are looking for a Frontend Developer to join our team at Oracle. The candidate will work on data, software, and business projects. Required skills include JavaScript, React, Tailwind CSS, HTML, CSS. Candidates should have 2-5 years of experience and a BCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",2-5 years,BCA,₹6-10 LPA,Remote,"['Java', 'JavaScript', 'HTML', 'CSS', 'React', 'Oracle']"
JOB00041,Frontend Developer,Oracle,"Ahmedabad, Gujarat","We are looking for a Frontend Developer to join our team at Oracle. The candidate will work on data, software, and business projects. Required skills include React, CSS, JavaScript, Tailwind CSS. Candidates should have 3-5 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",3-5 years,M.Tech,₹4-7 LPA,Internship,"['Java', 'JavaScript', 'CSS', 'React', 'Oracle']"
JOB00042,Business Analyst,Deloitte,"Jaipur, Rajasthan","We are looking for a Business Analyst to join our team at Deloitte. The candidate will work on data, software, and business projects. Required skills include Power BI, Excel, SQL. Candidates should have 5-8 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,M.Tech,₹4-7 LPA,Full-time,"['Power BI', 'SQL', 'Excel']"
JOB00043,Data Analyst,TCS,"Mumbai, Maharashtra","We are looking for a Data Analyst to join our team at TCS. The candidate will work on data, software, and business projects. Required skills include Tableau, SQL, Excel, Power BI. Candidates should have 2-5 years of experience and a B.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",2-5 years,B.Tech,₹12-20 LPA,Internship,"['Tableau', 'Power BI', 'SQL', 'Excel']"
JOB00044,DevOps Engineer,Capgemini,"Pune, Maharashtra","We are looking for a DevOps Engineer to join our team at Capgemini. The candidate will work on data, software, and business projects. Required skills include Kubernetes, Linux, AWS, Jenkins. Candidates should have 5-8 years of experience and a Bachelor's Degree. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,Bachelor's Degree,Not Disclosed,Full-time,"['AWS', 'Kubernetes']"
JOB00045,AI Engineer,Capgemini,"Hyderabad, Telangana","We are looking for a AI Engineer to join our team at Capgemini. The candidate will work on data, software, and business projects. Required skills include TensorFlow, Deep Learning, Machine Learning, NLP, Python. Candidates should have 2-5 years of experience and a BCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",2-5 years,BCA,₹4-7 LPA,Internship,"['TensorFlow', 'Machine Learning', 'Python']"
JOB00046,Web Developer,Adobe,"Delhi, India","We are looking for a Web Developer to join our team at Adobe. The candidate will work on data, software, and business projects. Required skills include React, CSS, Git, JavaScript, HTML. Candidates should have 8-12 years of experience and a MCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,MCA,₹6-10 LPA,Contract,"['Java', 'JavaScript', 'HTML', 'CSS', 'React', 'Git']"
JOB00047,Backend Developer,IBM,"Gurugram, Haryana","We are looking for a Backend Developer to join our team at IBM. The candidate will work on data, software, and business projects. Required skills include Python, REST API, Java. Candidates should have 1-3 years of experience and a B.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,B.Tech,₹4-7 LPA,Part-time,"['Java', 'Python']"
JOB00048,Frontend Developer,Wipro,"Noida, Uttar Pradesh","We are looking for a Frontend Developer to join our team at Wipro. The candidate will work on data, software, and business projects. Required skills include React, HTML, Tailwind CSS, CSS. Candidates should have 2-5 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",2-5 years,M.Tech,₹10-16 LPA,Remote,"['HTML', 'CSS', 'React']"
JOB00049,Data Engineer,Infosys,"Ahmedabad, Gujarat","We are looking for a Data Engineer to join our team at Infosys. The candidate will work on data, software, and business projects. Required skills include Spark, ETL, SQL, Python. Candidates should have 2-5 years of experience and a Any Graduate. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",2-5 years,Any Graduate,₹12-20 LPA,Full-time,"['SQL', 'Python']"
JOB00050,Backend Developer,IBM,"Noida, Uttar Pradesh","We are looking for a Backend Developer to join our team at IBM. The candidate will work on data, software, and business projects. Required skills include REST API, Python, SQL, Node.js. Candidates should have 2-5 years of experience and a Bachelor's Degree. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",2-5 years,Bachelor's Degree,Not Disclosed,Internship,"['Node.js', 'SQL', 'Python']"
JOB00051,DevOps Engineer,Persistent Systems,"Ahmedabad, Gujarat","We are looking for a DevOps Engineer to join our team at Persistent Systems. The candidate will work on data, software, and business projects. Required skills include Jenkins, Kubernetes, Linux, Docker, AWS. Candidates should have 5-8 years of experience and a Bachelor's Degree. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,Bachelor's Degree,₹6-10 LPA,Full-time,"['AWS', 'Docker', 'Kubernetes']"
JOB00052,DevOps Engineer,Microsoft,"Mumbai, Maharashtra","We are looking for a DevOps Engineer to join our team at Microsoft. The candidate will work on data, software, and business projects. Required skills include AWS, Jenkins, Kubernetes, Docker. Candidates should have 2-5 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",2-5 years,M.Tech,₹12-20 LPA,Contract,"['AWS', 'Docker', 'Kubernetes']"
JOB00053,Data Analyst,Mphasis,"Bengaluru, Karnataka","We are looking for a Data Analyst to join our team at Mphasis. The candidate will work on data, software, and business projects. Required skills include Python, Tableau, Power BI, Excel, SQL. Candidates should have 1-3 years of experience and a MCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,MCA,₹4-7 LPA,Full-time,"['SQL', 'Python', 'Power BI', 'Tableau', 'Excel']"
JOB00054,Backend Developer,HCLTech,"Chennai, Tamil Nadu","We are looking for a Backend Developer to join our team at HCLTech. The candidate will work on data, software, and business projects. Required skills include REST API, Java, Python. Candidates should have 5-8 years of experience and a B.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,B.Tech,₹4-7 LPA,Remote,"['Java', 'Python']"
JOB00055,Cybersecurity Analyst,Zoho,Remote,"We are looking for a Cybersecurity Analyst to join our team at Zoho. The candidate will work on data, software, and business projects. Required skills include Cybersecurity, Python, Linux, Networking. Candidates should have 5-8 years of experience and a B.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,B.Tech,₹10-16 LPA,Part-time,['Python']
JOB00056,Frontend Developer,Wipro,"Ahmedabad, Gujarat","We are looking for a Frontend Developer to join our team at Wipro. The candidate will work on data, software, and business projects. Required skills include JavaScript, HTML, Tailwind CSS, React, CSS. Candidates should have 5-8 years of experience and a MCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,MCA,₹10-16 LPA,Full-time,"['Java', 'JavaScript', 'HTML', 'CSS', 'React']"
JOB00057,Cloud Engineer,Wipro,"Jaipur, Rajasthan","We are looking for a Cloud Engineer to join our team at Wipro. The candidate will work on data, software, and business projects. Required skills include Docker, AWS, Azure, Linux. Candidates should have 5-8 years of experience and a M.Tech. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,M.Tech,₹12-20 LPA,Full-time,"['Azure', 'AWS', 'Docker']"
JOB00058,Java Developer,Oracle,"Pune, Maharashtra","We are looking for a Java Developer to join our team at Oracle. The candidate will work on data, software, and business projects. Required skills include REST API, Git, Spring Boot, SQL, Java. Candidates should have 5-8 years of experience and a M.Sc. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",5-8 years,M.Sc,₹5-8 LPA,Remote,"['Git', 'SQL', 'Java', 'Oracle']"
JOB00059,Business Analyst,IBM,"Chennai, Tamil Nadu","We are looking for a Business Analyst to join our team at IBM. The candidate will work on data, software, and business projects. Required skills include Communication, Power BI, SQL, Excel, Data Analysis. Candidates should have 0-2 years of experience and a Any Graduate. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",0-2 years,Any Graduate,₹4-7 LPA,Remote,"['Power BI', 'SQL', 'Excel']"
JOB00060,Web Developer,Cognizant,"Gurugram, Haryana","We are looking for a Web Developer to join our team at Cognizant. The candidate will work on data, software, and business projects. Required skills include Git, JavaScript, React, HTML. Candidates should have 8-12 years of experience and a M.Sc. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",8-12 years,M.Sc,₹5-8 LPA,Contract,"['Java', 'JavaScript', 'HTML', 'React', 'Git']"
JOB00061,Business Analyst,Capgemini,Remote,"We are looking for a Business Analyst to join our team at Capgemini. The candidate will work on data, software, and business projects. Required skills include Communication, Data Analysis, Excel. Candidates should have 2-5 years of experience and a Any Graduate. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",2-5 years,Any Graduate,Not Disclosed,Remote,['Excel']
JOB00062,Business Analyst,Deloitte,"Mumbai, Maharashtra","We are looking for a Business Analyst to join our team at Deloitte. The candidate will work on data, software, and business projects. Required skills include Data Analysis, Power BI, Excel, Communication, SQL. Candidates should have 2-5 years of experience and a MCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",2-5 years,MCA,₹8-12 LPA,Contract,"['Power BI', 'SQL', 'Excel']"
JOB00063,Cloud Engineer,Adobe,"Delhi, India","We are looking for a Cloud Engineer to join our team at Adobe. The candidate will work on data, software, and business projects. Required skills include Azure, Linux, AWS. Candidates should have 1-3 years of experience and a M.Sc. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",1-3 years,M.Sc,₹4-7 LPA,Part-time,"['Azure', 'AWS']"
JOB00064,Frontend Developer,Cognizant,Remote,"We are looking for a Frontend Developer to join our team at Cognizant. The candidate will work on data, software, and business projects. Required skills include Tailwind CSS, JavaScript, HTML, React, CSS. Candidates should have 2-5 years of experience and a M.Sc. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",2-5 years,M.Sc,₹5-8 LPA,Remote,"['Java', 'JavaScript', 'HTML', 'CSS', 'React']"
JOB00065,Cloud Engineer,Tech Mahindra,"Delhi, India","We are looking for a Cloud Engineer to join our team at Tech Mahindra. The candidate will work on data, software, and business projects. Required skills include AWS, Linux, Docker. Candidates should have Fresher of experience and a BCA. Responsibilities include developing solutions, analyzing requirements, collaborating with teams, testing applications, documenting work, and delivering high-quality results.",Fresher,BCA,₹4-7 LPA,Contract,"['AWS', 'Docker']"
